,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,259.7242724815299
48250,1,爱上江西，没有理由！[哈哈],14.516250450896822
100168,0,计划赶不上变化[抓狂][泪],27.76804183024692
22319,1,芭其乐，大嘴快乐的家伙[爱你],172.7386601228857
70122,0,传统已逝??????[抓狂],61.96412618084544
6338,1,谢谢哈! 欢迎常来![鼓掌],34.077388909681616
20081,1,胖子手感好啊！[鼓掌][爱你],23.490894083412126
23064,1,生快！[干杯][蛋糕][鼓掌],50.60254861216619
84060,0,居然把我干儿子装脸盆里！[怒],86.48096641505958
93871,0,三哥总是这么的让人惊喜[晕],45.09183729422493
104161,0,此刻后：ko了... [晕],352.9604066208263
40416,1,[害羞][哈哈]@魔王1987,117.43652822490317
15376,1,随手拍祝大家周末愉快！[爱你],16.128657710800876
10199,1,是滴，美女。欢迎哦！[可爱],64.04490855102281
71224,0,偷贡品。不怕报应啊？。[衰],387.1894486552777
12238,1,[哈哈] //@独眼u:哈哈哈,30.029874156563316
77537,0,求二手智能手机。。。[抓狂],49.60518023674765
55063,1,是帮你挡酒的男的么？[嘻嘻],41.96026274813851
21548,1,原来很多国家都免签![哈哈],27.028942134660763
38076,1,百变大咖秀真的很快乐[哈哈],22.595647120634688
84198,0,[泪]//@那木错:[微风],227.73354860064072
27872,1,哈哈，强大[鼓掌][good],138.36107855890845
48051,1,眼睛一眨，美妞变辣妈！[哈哈],35.335088738444625
18029,1,祝大家十一小长假快乐[太开心],29.411874830561942
115177,0,[泪] //@袁腾飞:[泪],22.74566044654339
114619,0,可怜的风扇[泪] 我要等正版！,58.63882769953272
64870,0,固执的大叔这场又好危险[失望],130.27280681128354
74958,0,办公室都是孩儿他娘！！！[怒],73.03799752530958
77734,0,//@地狱中的八尾猫: [衰],101.65061259807008
51580,1,财神到我手?[偷笑][鼓掌],66.07739404141417
54352,1,爱吃牛排的童鞋举个手~[爱你],98.99192602253126
8324,1,开始喽，看起来吧！！[鼓掌],64.03564999541464
106626,0,受伤，是个超级不好的消息[衰],70.69556494333715
15031,1,[哈哈][哈哈]收费大调查。。,15.259775601048183
8249,1,用美食向大家说早安~[嘻嘻],29.485241926016467
59782,0,愚人节的游戏，银行也玩呀[衰],46.27756389747621
110113,0,[衰]弄破了，基本上不会复原！,19.480134686766494
11405,1,哈，回忆录写到哪了？[嘻嘻],34.82356719364412
81138,0,书人搬家，其实就是搬书[晕],59.7280335867097
14831,1,《时尚旅游》也玩街拍了[哈哈],33.155451050708706
51446,1,阿姨做的菜相当好吃呢[爱你],25.569899272126253
73965,0,Facebook 还在跌[晕],395.1319529688155
101129,0,[抓狂] 你是在哪里腐败~~~,54.751920710217014
104892,0,男人动手…[怒][怒][怒],11.389085559587846
66040,0,我在这里：#闸北区#吃饭[泪],77.99851115340742
87632,0,难得休息的，竟然感冒了[泪],18.515413992900083
96063,0,知道得太晚了，遗憾！[失望],15.917475062749439
81716,0,社会败坏的典型!?救了[衰],109.72803345153807
