,labels,text
9893,1,我的博友们，加我微信[哈哈]
65711,0,居然放魔力红和火星哥的歌[衰]
64005,0,回家了[泪][嘻嘻][哈哈]
46845,1,我们酒店甜品也有这个~[鼓掌]
18075,1,//@中国料理烤鸭:[哈哈]
35004,1,早起第一乐！[哈哈][哈哈]
65750,0,给别人添麻烦了。。[晕][晕]
46481,1,好男孩！喜欢！[鼓掌][爱你]
34970,1,笑一个[哈哈][哈哈][哈哈]
103594,0,我终于被老总赶出公司了！[泪]
71979,0,终于找到观点直达心底的人[泪]
22281,1,鸡蛋，从里打破还是食物[嘻嘻]
41841,1,原只炖草龟汤[嘻嘻][嘻嘻]
68989,0,//@彤朵?:我们的总理[泪]
20033,1,帅大萌[爱你][爱你][爱你]
45625,1,向干爹学习，过谄媚生活[嘻嘻]
50392,1,只能是我滴妈咪撒~~[嘻嘻]
92531,0,今早余杭能见度[浮云][晕]
55731,0,2012的船票！船票！[泪]
43225,1,[汗][哈哈][哈哈][哈哈]
109098,0,//@蓝鲸财经记者内参:[怒]
84268,0,还浪费一对日抛隐形眼镜[泪]
91355,0,最后一天，舍不得阿……[泪]
4474,1,长的太美了 所以肯定是[嘻嘻]
88572,0,今日不宜出行[衰][衰][衰]
3240,1,猴子老师越来越大气啦[鼓掌]
22341,1,@2的有缘人 想起你来[嘻嘻]
107627,0,我也想吃这个[泪][泪][泪]
105726,0,7点出门，这才刚看见招牌[泪]
20220,1,[哈哈][哈哈]@小韦911
101511,0,[衰]//@褚达晨: 转发微博
113130,0,[衰]//@人参爽: 吓死个人
