,,labels,text,ppl
30574,洗发水,0,怀疑是假货，洗发后感觉很不好,14.810851839234191
7598,平板,1,手机质量很好哎，就是没有送礼品,9.369839258586097
43849,衣服,0,有差异的产品，下次不会选购了,6.448547529565306
10361,平板,0,东西搭配了一堆没用的，给差评,33.17340356451234
3099,平板,1,一般般 会有卡顿 看电影还行,18.040839401670915
28438,洗发水,1,不错很满意，物流小哥很给力。,8.171625821489258
34577,洗发水,0,京东的配送就这样吗？真是失望,20.215602575455655
12015,平板,0,非常不满意，大型游戏根本玩不了,3.849317332460494
31819,洗发水,0,垃圾京东，收钱不发货，趁早倒闭,35.48600166514706
42623,衣服,1,衣服面料很舒服，柔软，大小合适,7.803026313284697
43428,衣服,0,哎与图片差距太大真心接受不了,6.013334475659939
38964,衣服,1,面料很好，款式时尚 穿上很舒服,3.7889996806280584
22062,水果,0,一点也不甜不清脆，只能榨汁了。,7.954901892988099
32231,洗发水,0,洗发水不正宗的，洗完头皮屑很多,10.656905676023497
46924,衣服,0,才穿两天就坏了 ………………,7.058771836711755
38041,衣服,1,质量不错，很满意，样式也很好。,3.4677364232600127
17545,水果,1,京东商城的商品实惠，继续支持！,7.262518277969666
36576,蒙牛,1,蒙牛出香蕉奶啦 味道还不错哦,64.89749315005504
6653,平板,1,快递速度很快，平板用了还不错。,10.177152825386091
39896,衣服,1,大小合适，有弹力，辉常满意！,41.826373035318895
38971,衣服,1,刚收到货，很好，物超所值！！,14.9239808472594
41286,衣服,1,穿上变得特别帅，怎么呢？嘻嘻。,20.58163795076946
29583,洗发水,1,超值值得购买！便宜实惠真的很好,3.9435931903015145
12956,平板,0,不咋好，显示不清楚，想贴膜的,15.320168918603922
31712,洗发水,0,不好，这么贵还不好，我也是醉了,8.688108296664304
31680,洗发水,0,啥时候到啊下单好几天了还没到?,9.815645037952105
44358,衣服,0,感觉不是很好，很多的线条漏出来,6.2044352903494655
60362,酒店,0,很一般，价格不高，但设备差！,7.452848771357506
45785,衣服,0,没穿几次就破2个洞，做工不好。,20.17007012592893
30820,洗发水,0,被坑了，不好用，只能给一星?,46.716550707577035
10933,平板,0,送货师傅不错，平板质量一般般,50.35030802492124
40218,衣服,1,穿上很舒服，面料不错，蛮好的,6.530609981721056
42072,衣服,1,质量不错，颜色很正，款式好看,4.1506762462277935
36597,蒙牛,1,蒙牛滴。。。口感醇厚，不错～,84.59970117782889
47403,衣服,0,衣服不行 ！！！ 快递也不给力,35.38344246209694
42213,衣服,1,质量好，做工精细。非常满意！,4.439365370002036
31785,洗发水,0,不好用，味道太浓，不适合男人,4.624363606198449
46015,衣服,0,质量没有想像的那么好，不要上当,6.472477854060149
42170,衣服,1,款式新颖，又合身，孩子很喜欢,7.534251475283908
43150,衣服,0,欺骗消费者！！！严重不符！！！,7.714432936972478
45415,衣服,0,商品没图上的好看，面料也不多好,25.471831739635878
30230,洗发水,1,价格实惠，服务好，东西不错。,3.3063236890383383
47927,衣服,0,没收到商品，一个月了，差劲。,16.284691672528155
30018,洗发水,1,好，不错，得蛮多的，划算，喜欢,12.156330542773913
26817,洗发水,1,到货好快。服务好！东西满意！,13.682419117065892
5006,平板,1,手机不错，屏大清晰，速度快。,12.377396691388293
44936,衣服,0,洗了掉色特严重，很硬，还没穿,38.494298820581065
16856,水果,1,还味吃，现在觉得苹果越来越甜了,10.592440448142499
3845,平板,1,不错 很喜欢 华为平板666,63.07581222788493
28242,洗发水,1,洗发水好用，洗过头发很清爽…,11.79539841082505
42123,衣服,1,可以 比较满意 穿了再来评价,21.76141582619334
34621,洗发水,0,有一瓶盖子烂了，流的到处都是。,12.056977105029704
33650,洗发水,0,使用一般，和国货区别不是很大！,14.27637430316676
5554,平板,1,好好的一个好的自己选的好好好货,17.85976863785306
30937,洗发水,0,说好的吹风机在哪！太垃圾了！,3.887844375235764
60557,酒店,0,服务很一般，设施和装修也不好。,9.495269951760246
46810,衣服,0,真的和网上看的差别真大，好垃圾,7.363074008602343
25754,洗发水,1,看着还可以，小的赠送旅行装不错,37.9966224199401
43705,衣服,0,物流太慢太慢，衣服不怎么样，,12.665878247172962
18630,水果,1,个头小但很甜，用来做早餐正好。,5.607104583775538
41784,衣服,1,商品不错，物超所值。真实体验。,7.769887185756547
45106,衣服,0,非常一般，不推荐，不要贪便宜,5.822951875362514
31546,洗发水,0,昨天收到今天就降价，太过分了！,17.2142625625066
43624,衣服,0,有股刺鼻的味道，还特别脏，差评,7.934779917633384
10107,平板,0,差评，保护壳都没有，5星差评！,28.360553317522157
32824,洗发水,0,不好用，不适合我的发质，起头屑,10.808155073482556
4883,平板,1,不错物流给力，值得信赖，正品，,15.71943060208435
31305,洗发水,0,发来就破了。。懒得跟客服叨叨了,50.14849534200314
17539,水果,1,性价比真他们高。。。。够味还脆,247.61159764041145
3991,平板,1,不错，给妈妈玩游戏用的，很喜欢,7.995490533988989
35438,热水器,1,安装好了，还没用，感觉挺好的,5.092127705800157
10959,平板,0,骗子。垃圾货。收到的卡装不了,36.22072045107318
38859,衣服,1,衣服挺好的，我一下子买了两件,4.299108965411313
33344,洗发水,0,还品牌垃圾要死，越洗越多头屑。,15.741150706609002
11811,平板,0,不好买来好后悔玩游戏好卡差评。,75.16132602213077
26497,洗发水,1,一如既往的快，态度好，日期新。,16.541449575733118
39505,衣服,1,裤子面料不错的 版型很喜欢啊,9.655630759957688
34065,洗发水,0,买了很多次，这次的是假货，失望,8.637750173741129
57426,酒店,0,服务不好。乱收费，非常不满意！,7.609365904121457
10211,平板,0,cpu太差 一点都不流畅 亏了,82.77141399288537
6071,平板,1,真正好PAD，学英语不用愁啦,57.998172525550906
46500,衣服,0,网上买几次都是烂货，不能相信。,11.666485510621232
39929,衣服,1,裤子的质量真的不错，值得表扬！,5.792620485037634
