,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,8.294005177492322
7598,1,手机质量很好哎，就是没有送礼品,3.765377558151562
43849,0,有差异的产品，下次不会选购了,4.755339171150538
10361,0,东西搭配了一堆没用的，给差评,7.30250404534447
3099,1,一般般 会有卡顿 看电影还行,28.25031906651174
28438,1,不错很满意，物流小哥很给力。,6.232952163051395
34577,0,京东的配送就这样吗？真是失望,4.147235087876956
12015,0,非常不满意，大型游戏根本玩不了,3.1168758195836688
31819,0,垃圾京东，收钱不发货，趁早倒闭,14.67480613931545
42623,1,衣服面料很舒服，柔软，大小合适,2.8748767724725477
43428,0,哎与图片差距太大真心接受不了,9.259275679753923
38964,1,面料很好，款式时尚 穿上很舒服,3.146150173691453
32231,0,洗发水不正宗的，洗完头皮屑很多,11.33972070410345
17545,1,京东商城的商品实惠，继续支持！,2.567183211300428
36576,1,蒙牛出香蕉奶啦 味道还不错哦,11.652334171930374
6653,1,快递速度很快，平板用了还不错。,5.98236788947606
39896,1,大小合适，有弹力，辉常满意！,10.902393793305022
38971,1,刚收到货，很好，物超所值！！,6.540651736684967
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,8.249134315650505
29583,1,超值值得购买！便宜实惠真的很好,2.871153198609367
12956,0,不咋好，显示不清楚，想贴膜的,15.076819549686228
31712,0,不好，这么贵还不好，我也是醉了,10.35176983205089
31680,0,啥时候到啊下单好几天了还没到?,9.325798219043664
60362,0,很一般，价格不高，但设备差！,6.04072461041694
45785,0,没穿几次就破2个洞，做工不好。,17.763610576213242
30820,0,被坑了，不好用，只能给一星?,27.12957382064953
10933,0,送货师傅不错，平板质量一般般,5.660797695292612
40218,1,穿上很舒服，面料不错，蛮好的,4.287498655796261
36597,1,蒙牛滴。。。口感醇厚，不错～,37.603741892575634
47403,0,衣服不行 ！！！ 快递也不给力,14.794768304479666
42213,1,质量好，做工精细。非常满意！,2.6448601451813545
31785,0,不好用，味道太浓，不适合男人,6.333373723925202
46015,0,质量没有想像的那么好，不要上当,3.111823553902165
42170,1,款式新颖，又合身，孩子很喜欢,3.86135655538949
43150,0,欺骗消费者！！！严重不符！！！,7.40874811609251
45415,0,商品没图上的好看，面料也不多好,12.594989290532492
30230,1,价格实惠，服务好，东西不错。,2.2284853631061066
47927,0,没收到商品，一个月了，差劲。,10.906747249862432
30018,1,好，不错，得蛮多的，划算，喜欢,15.019908039210787
26817,1,到货好快。服务好！东西满意！,5.151439698855068
5006,1,手机不错，屏大清晰，速度快。,5.866442012985691
44936,0,洗了掉色特严重，很硬，还没穿,25.0881945807301
16856,1,还味吃，现在觉得苹果越来越甜了,13.571345097083157
3845,1,不错 很喜欢 华为平板666,24.16222362145435
28242,1,洗发水好用，洗过头发很清爽…,8.351725027873234
42123,1,可以 比较满意 穿了再来评价,8.013752797373584
34621,0,有一瓶盖子烂了，流的到处都是。,10.065728498517577
33650,0,使用一般，和国货区别不是很大！,5.118474109795103
5554,1,好好的一个好的自己选的好好好货,20.063180471487943
30937,0,说好的吹风机在哪！太垃圾了！,6.161963364703506
60557,0,服务很一般，设施和装修也不好。,3.4622285146521814
46810,0,真的和网上看的差别真大，好垃圾,4.844447679487886
25754,1,看着还可以，小的赠送旅行装不错,14.031277408109709
43705,0,物流太慢太慢，衣服不怎么样，,5.009433657929806
18630,1,个头小但很甜，用来做早餐正好。,5.317065118928377
41784,1,商品不错，物超所值。真实体验。,4.8862681102117
45106,0,非常一般，不推荐，不要贪便宜,3.357716509530696
31546,0,昨天收到今天就降价，太过分了！,5.145927201695558
43624,0,有股刺鼻的味道，还特别脏，差评,8.430920502461161
10107,0,差评，保护壳都没有，5星差评！,9.654481304019388
32824,0,不好用，不适合我的发质，起头屑,7.930184901383824
4883,1,不错物流给力，值得信赖，正品，,6.395532802782827
31305,0,发来就破了。。懒得跟客服叨叨了,41.248331053011086
17539,1,性价比真他们高。。。。够味还脆,82.39833805358913
3991,1,不错，给妈妈玩游戏用的，很喜欢,4.602658280540116
35438,1,安装好了，还没用，感觉挺好的,5.157022002020111
10959,0,骗子。垃圾货。收到的卡装不了,18.873646145679547
38859,1,衣服挺好的，我一下子买了两件,2.7474615454497875
33344,0,还品牌垃圾要死，越洗越多头屑。,32.161289641734214
11811,0,不好买来好后悔玩游戏好卡差评。,57.4707856320281
26497,1,一如既往的快，态度好，日期新。,8.472780589773768
39505,1,裤子面料不错的 版型很喜欢啊,5.422124333214111
34065,0,买了很多次，这次的是假货，失望,6.67298920825276
57426,0,服务不好。乱收费，非常不满意！,4.434048310371456
10211,0,cpu太差 一点都不流畅 亏了,24.707138111674563
